   1.63384490E-001    1.97642917E-001    1.90901607E-001    1.79455937E-001
   1.76330532E-001    1.79930003E-001    1.90901607E-001    1.88551086E-002
   1.67030092E-001    1.79802390E-001    1.90901607E-001    6.69051399E-002
   1.74671859E-001    1.91469828E-001    1.90901607E-001    8.79928090E-002
   1.70074606E-001    1.61149599E-001    1.90901607E-001   -4.67518718E-002
   1.71988080E-001    1.32901836E-001    1.90901607E-001   -2.04745493E-001
   1.71592539E-001    1.69621603E-001    1.90901607E-001   -1.03243596E-002
   1.66390041E-001    1.28671993E-001    1.90901607E-001   -1.97578477E-001
   1.12523635E-002    5.45678908E-002    2.42879819E-002    1.78341402E+000
   1.04610368E-002    5.11363043E-002    2.42879819E-002    1.67470758E+000
   1.08544070E-002    4.22292493E-002    2.42879819E-002    1.29178465E+000
   1.06344325E-002    3.74824119E-002    2.42879819E-002    1.10540182E+000
   1.04408147E-002    3.58855497E-002    2.42879819E-002    1.04762656E+000
   1.00019421E-002    2.95330536E-002    2.42879819E-002    8.04147153E-001
   1.10894134E-002    2.41970431E-002    2.42879819E-002    5.39675538E-001
   1.06366975E-002    2.31519186E-002    2.42879819E-002    5.15284520E-001
   1.06295269E-002    2.07421487E-002    2.42879819E-002    4.16363198E-001
   1.08744702E-002    2.07360031E-002    2.42879819E-002    4.06025208E-001
   1.06184964E-002    1.95643033E-002    2.42879819E-002    3.68322362E-001
   1.08118176E-002    1.89175455E-002    2.42879819E-002    3.33734106E-001
   1.08845228E-002    2.09937469E-002    2.42879819E-002    4.16223301E-001
   1.07478292E-002    1.72307979E-002    2.42879819E-002    2.66920848E-001
   1.00865445E-002    1.47998179E-002    2.42879819E-002    1.94057844E-001
   1.06750865E-002    1.55292196E-002    2.42879819E-002    1.99857408E-001
   1.08103794E-002    1.04061633E-002    2.42879819E-002   -1.66426391E-002
   1.09514577E-002    9.92075717E-003    2.42879819E-002   -4.24366471E-002
   1.07582058E-002    9.78904560E-003    2.42879819E-002   -3.99028701E-002
   1.08716857E-002    8.94666211E-003    2.42879819E-002   -7.92582779E-002
   2.49027716E-002    5.07550789E-002    2.62305383E-002    9.85580513E-001
   2.06839063E-002    4.81385047E-002    2.62305383E-002    1.04666546E+000
   1.76850445E-002    4.33128137E-002    2.62305383E-002    9.77020332E-001
   1.62086476E-002    3.44762905E-002    2.62305383E-002    6.96426537E-001
   1.50860925E-002    3.42109853E-002    2.62305383E-002    7.29107906E-001
   1.43982062E-002    3.20567221E-002    2.62305383E-002    6.73204483E-001
   1.40848804E-002    3.04433696E-002    2.62305383E-002    6.23642911E-001
