t,frontier_floor,d_region,d_mass,d_flow,theta_U,theta_S,f_U,f_S,skilled_share,training_share,ur_U,ur_S,dist_to_z0,dist_to_z1
12.0,0.27114581686899375,0.4645396858409867,0.0,0.0,0.22422047169658904,0.6487263070409749,0.21390858316485706,0.19923585495090898,0.30585219109425055,0.04968561981606305,0.09942311488860632,0.0428964593811006,0.04738058849198934,0.013357609010454932
12.5,0.2711461053978761,0.46454474477069735,0.0,0.0,0.22439693307145683,0.6481911121933481,0.21399273957278528,0.19915365387226439,0.3059733014757543,0.04979186639363848,0.09968033272751094,0.0430880997041287,0.047916560485527664,0.013482625603573602
13.0,0.27114635570485596,0.4645494026246275,0.0,0.0,0.22455405719858695,0.6476842832935491,0.21406764598568678,0.19907577825498896,0.30609392832959603,0.04989310726315482,0.09990899911104148,0.043264898823888336,0.048415841825833875,0.013600970871886331
13.5,0.27114656997739905,0.4645536897368806,0.0,0.0,0.22469399558632164,0.6472035667019708,0.21413433731161408,0.19900188670334754,0.3062140587531995,0.04998949594004233,0.10011253235293652,0.04342813213319626,0.04888167678805446,0.01371244583804913
14.0,0.2711467503057518,0.464557633067886,0.0,0.0,0.22481865018027486,0.646746847012116,0.21419372725592017,0.1989316583201729,0.3063336805615643,0.0500811820229358,0.10029393882795486,0.04357895328069286,0.04931697206279725,0.013816918273714972
14.5,0.2711468986952996,0.4645612564869611,0.0,0.0,0.22492970451481017,0.646312636441008,0.21424662367931982,0.19886486809744908,0.30645278215482474,0.050168310941763675,0.10045586253564254,0.043718406875490695,0.049724334794434194,0.013914313206615979
15.0,0.27114701707901206,0.46456458151864827,0.0,0.0,0.22502865093718122,0.6458994522230217,0.2142937419692919,0.1988012913105053,0.30657135248561507,0.05025102402490255,0.10060062845544894,0.04384743721784221,0.050106102340961585,0.014004604139329578
15.5,0.2711471073237401,0.4645676274657924,0.0,0.0,0.22511681386277915,0.645505340800342,0.2143357164312908,0.19874063030909095,0.3066893810331079,0.05032945858432391,0.10073028078222304,0.04396689918427351,0.050464372798747235,0.014096403389435734
16.0,0.27114717123764687,0.4645704112542078,0.0,0.0,0.2251953699581794,0.6451294268808645,0.2143731101471904,0.1986827529805802,0.3068068577793272,0.0504037480044014,0.10084661664790563,0.04407756923532732,0.05080103383446758,0.014181633014488243
16.5,0.27114721058192615,0.46457294825295514,0.0,0.0,0.22526536538041794,0.6447702211112091,0.21440642337775961,0.19862743235393143,0.30692377318718683,0.05047402183251236,0.10095121583010735,0.04418015001496223,0.05111778126854688,0.014259955945969715
17.0,0.2711472270744232,0.46457525199690425,0.0,0.0,0.22532773094910724,0.6444264817899071,0.21443610093857124,0.19857447925622487,0.3070401181807218,0.050540405872803756,0.10104546696056661,0.044275280144190875,0.05141614319192811,0.01433136899561542
17.5,0.2711472223984857,0.4645773344396495,0.0,0.0,0.2253832962913095,0.6440972358335799,0.21446253905340693,0.19852374562006783,0.30715588419058465,0.05060302247793466,0.1011305903220529,0.04436354006364114,0.051697497477290674,0.014395972457857493
18.0,0.27114719821030003,0.46457920620802295,0.0,0.0,0.2254328040087837,0.6448072591276548,0.2144860921914787,0.1986331372238356,0.30727106324648995,0.05066199097443365,0.10120765769509005,0.04444545718310995,0.051963087197867644,0.014453902593625587
18.5,0.27114715614447377,0.4645815468408659,0.0,0.0,0.22547691237663936,0.6445197699627507,0.2145070744277873,0.19858885171026028,0.3073856476033644,0.0507174266314495,0.10127761170240762,0.04451800363205642,0.052209331421883234,0.014504711596538327
19.0,0.27114708946800903,0.4645837298104875,0.0,0.0,0.22551621290060875,0.644245678546506,0.21452576785634395,0.19854662081965735,0.3074996301690118,0.05076944214354315,0.10134127975590951,0.04458542802113645,0.052442354994878385,0.014549246944635353
19.5,0.2711469992250212,0.4645857646506819,0.0,0.0,0.2255512326782252,0.6439842038934673,0.21454242376093502,0.19850632549509611,0.30761300426976895,0.05081814701325128,0.10139938881550008,0.044648091955847145,0.052663032224715856,0.01458767350204956
20.0,0.2711468864171142,0.46458765995960355,0.0,0.0,0.2255824425421781,0.6437350688886437,0.2145572665267356,0.19846792419730244,0.30772576372422566,0.050863647907605114,0.10145257726945564,0.044706326409968834,0.05287215863233918,0.014622483914807489
20.5,0.2711467520079885,0.4645894239383537,0.0,0.0,0.22561026061643522,0.6434976387623894,0.21457049536208,0.19843132015595918,0.3078379026978099,0.05090604832515373,0.10150140623953027,0.044760432059214705,0.05307090368321804,0.014656466601092023
