t,frontier_floor,d_region,d_mass,d_flow,theta_U,theta_S,f_U,f_S,skilled_share,training_share,ur_U,ur_S,dist_to_z0,dist_to_z1
31.5,0.29222541228483956,0.4756677274243714,0.0,0.0,0.4589682539536496,1.2126789660000439,0.30080165325854585,0.27281528054166476,0.3018627358550349,0.04203721165002195,0.06357443643309339,0.02594690491167138,8.505094730510672e-12,8.505063705655473e-12
32.0,0.2922254122848418,0.4756677274243682,0.0,0.0,0.458968253953648,1.2126789660000397,0.30080165325854535,0.2728152805416643,0.30186273585505613,0.042037211650020063,0.06357443643309567,0.025946904911670808,8.514131585016648e-12,8.514100560161449e-12
32.5,0.29222541228484405,0.4756677274243649,0.0,0.0,0.45896825395364643,1.2126789660000363,0.3008016532585448,0.27281528054166393,0.30186273585507717,0.04203721165001787,0.06357443643309792,0.02594690491167014,8.522086365975208e-12,8.522055341120008e-12
33.0,0.29222541228484644,0.4756677274243617,0.0,0.0,0.4589682539536448,1.2126789660000337,0.3008016532585443,0.2728152805416636,0.30186273585509804,0.042037211650015394,0.06357443643310014,0.02594690491166936,8.528967986139741e-12,8.528936961284542e-12
33.5,0.2922254122848489,0.47566772742435837,0.0,0.0,0.4589682539536434,1.212678966000031,0.3008016532585438,0.2728152805416633,0.3018627358551188,0.04203721165001264,0.06357443643310234,0.025946904911668484,8.53481451587204e-12,8.53478349101684e-12
34.0,0.2922254122848514,0.47566772742435515,0.0,0.0,0.4589682539536416,1.2126789660000292,0.30080165325854324,0.2728152805416631,0.3018627358551394,0.04203721165000961,0.06357443643310451,0.02594690491166752,8.539658788728682e-12,8.539627763873483e-12
34.5,0.29222541228485394,0.4756677274243518,0.0,0.0,0.45896825395364,1.2126789660000277,0.30080165325854274,0.27281528054166293,0.3018627358551598,0.04203721165000631,0.06357443643310667,0.02594690491166646,8.5435178107752e-12,8.543486785920002e-12
35.0,0.2922254122848566,0.4756677274243486,0.0,0.0,0.4589682539536386,1.2126789660000266,0.3008016532585423,0.27281528054166276,0.3018627358551801,0.042037211650002765,0.06357443643310878,0.025946904911665316,8.546422296686382e-12,8.546391271831185e-12
35.5,0.29222541228485927,0.4756677274243454,0.0,0.0,0.458968253953637,1.2126789660000261,0.3008016532585418,0.2728152805416627,0.30186273585520024,0.04203721164999898,0.06357443643311086,0.02594690491166409,8.551906219329817e-12,8.55187519447462e-12
36.0,0.2922254122848621,0.47566772742434205,0.0,0.0,0.4589682539536357,1.2126789660000257,0.30080165325854136,0.2728152805416627,0.30186273585522033,0.04203721164999496,0.06357443643311295,0.025946904911662776,8.557515111365319e-12,8.55749008541689e-12
